Abejorral,65
Abrego,742
Acacias,6527
Acandi,111
Acevedo,318
Achi,218
Achutupu,9
Acre,6142
Acuatupu,11
Agrado,811
Agua De Dios,2732
Aguachica,5787
Aguadas,35
Aguazul,3929
Agustin Codazzi,169
Ahuachapan,2421
Ailigandi,3
Aipe,4643
Alabama,29
Alachua County,29
Alagoas,24634
Alban,3
Albania,1181
Alcala,662
Algarrobo,811
Algeciras,1341
Almaguer,11
Alpujarra,346
Alta Verapaz,11
Altamira,1348
Alvarado,963
Amaga,72
Amapa,1144
Amazonas,14973
Ambalema,148
American Samoa,285
Anapoima,3179
Ancon,2
Andalucia,561
Andes,35
Angelopolis,19
Anolaima,143
Anserma,188
Ansermanuevo,2751
Anza,344
Anzoategui,26
Apartado,6187
Apia,13
Apulo,1219
Aquin,8
Aracataca,818
Aratoca,17
Arauca,8131
Arauquita,2153
Arbelaez,329
Arboledas,1151
Arboletes,269
Arenal,958
Argelia,198
Ariguani,83
Arizona,23
Arjona,482
Arkansas,43
Armenia,2139
Armero,22
Armero (Guayabal),158
Arroyohondo,31
Artibonite,112
Astrea,279
Ataco,512
Atrato,93
Ayapel,991
Azua,1748
Bahia,292281
Bahia Solano,29
Baja Verapaz,16
Bajo Baudo,19
Balboa,1251
Baoruco,123
Barahona,562
Baranoa,615
Baraya,475
Barbacoas,43
Barbosa,883
Barichara,183
Barranca De Upia,112
Barrancabermeja,8319
Barrancas,852
Barranco De Loba,191
Barranquilla,92682
Becerril,513
Belen,2
Belen De Los Andaquies,478
Belen De Umbria,126
Bella Vista,9
Bello,718
Belmira,41
Beltran,37
Betania,4
Beteitiva,22
Bethania,6
Betulia,51
Bituima,9
Boavita,64
Bochalema,1882
Bolivar,1231
Bosconia,477
Boyaca,19
Brazil,925732
Brevard County,16
Broward County,115
Bucaramanga,36121
Bucarasica,69
Buena Fe,24
Buenaventura,6129
Buenavista,1455
Buenos Aires,3331
Buesaco,21
Bugalagrande,329
Buritica,42
CABA,1899
Cabanas,5767
Cabrera,11
Cabuyaro,246
Caceres,861
Cachipay,585
Cachira,81
Caicedo,3
Caicedonia,582
Cajamarca,194
Cajibio,12
Calamar,193
Calarca,446
Caldas,73
Caldono,5
Cali,123757
Calidonia,2
California,553
Calima,116
Caloto,64
Campeche,17
Campo De La Cruz,321
Campoalegre,2985
Campohermoso,56
Canalete,982
Canar,5
Canasgordas,51
Candelaria,3471
Cantagallo,328
Cap Haitien,6
Caparrapi,134
Capitanejo,4113
Caqueza,74
Caracoli,21
Caramanta,113
Carazo,3
Carchi,8
Carepa,1914
Carmen De Apicala,2644
Carolina,71
Carrefour,8
Cartagena,22335
Cartagena Del Chaira,211
Cartago,16764
Carti,21
Casabianca,37
Castilla La Nueva,514
Catamarca,212
Caucasia,1812
Ceara,19416
Central,114
Centre,79
Cepita,132
Cerete,4178
Cerrito,7
Cerro San Antonio,5
Certegui,21
Chaco,1117
Chaguani,435
Chalan,115
Chalatenango,8833
Chameza,91
Chaparral,4918
Charala,83
Charta,11
Chia,134
Chiapas,2317
Chibolo,47
Chigorodo,3121
Chima,188
Chimichagua,8
Chinacota,1955
Chinandega,7
Chinchina,212
Chinu,343
Chipaque,14
Chiquimula,312
Chiquinquira,25
Chiriguana,294
Chitaga,31
Chitaraque,117
Choachi,12
Chorrillo,2
Chubut,82
Chunchi,13
Cicuco,151
Cienaga,7261
Cienaga De Oro,156
Cimitarra,397
Circasia,147
Cisneros,3
Ciudad Bolivar,139
Ciudad Sandino,3
Clay County,5
Clemencia,26
Cocorna,9
Coello,411
Colima,3
Collier County,5
Colombia,656
Colon,7
Colorado,46
Coloso,387
Concepcion,27
Concordia,183
Condoto,21
Connecticut,14
Contratacion,2
Convencion,43
Copacabana,57
Coper,12
Corazon de Jesus,5
Cordoba,1676
Corinto,95
Coromoro,6
Corozal,3119
Corrientes,285
Cota,36
Cotes de Fer,3
Cotopaxi,11
Cotorra,115
Covenas,611
Coyaima,1131
Cravo Norte,65
Cubara,116
Cubarral,117
Cucuta,135383
Cucutilla,571
Cuenca,12
Cumaral,638
Cumaribo,292
Cunday,244
Curillo,57
Curiti,77
Curumani,938
Cuscatlan,9116
Dabeiba,76
Dagua,685
Dajabon,39
Dame Marie,3
Daule,12
Delaware,51
Delmas,13
Desconocido,2154
Dibulla,631
Distraccion,322
District of Columbia,68
Distrito Federal,3111
Distrito I,2
Distrito II,3
Distrito IV,3
Distrito Nacional,11114
Dolores,1992
Dominican Republic,49674
Dosquebradas,2629
Duarte,413
Duitama,23
Durania,1287
Ebejico,74
Ecuador,7276
El Aguila,159
El Bagre,88
El Banco,1141
El Cairo,192
El Carmen,281
El Carmen De Bolivar,425
El Carmen De Chucuri,39
El Carmen De Viboral,35
El Castillo,117
El Cerrito,5171
El Charco,63
El Coco,2
El Colegio,11183
El Copey,727
El Doncello,1231
El Dorado,391
El Dovio,11
El Guamo,42
El Molino,136
El Oro,121
El Paso,162
El Paujil,971
El Penon,953
El Pinon,1146
El Playon,1214
El Progreso,31
El Quiche,26
El Reten,326
El Retorno,314
El Roble,163
El Rosario,4
El Salvador,233144
El Seibo,58
El Tambo,5
El Tarra,622
El Zulia,5159
Elias,266
Elias Pina,49
Ennery,7
Entre Rios,576
Entrerrios,11
Envigado,225
Escuintla,179
Esmeraldas,821
Espaillat,412
Espinal,8578
Espirito Santo,16464
Facatativa,81
Falan,484
Filadelfia,34
Filandia,39
Flandes,5542
Florencia,11984
Florida,2362
Floridablanca,15867
Fond Des Negres,7
Fonseca,858
Formosa,118
Fortul,1262
Francisco Pizarro,21
Fredonia,41
Fresno,249
Frontino,4
Fuente De Oro,335
Fundacion,2141
Funza,2
Fusagasuga,2441
Gachala,23
Gacheta,7
Galan,178
Galapa,1158
Galapagos,27
Galeras,71
Gamarra,114
Gambita,8
Garagoa,18
Garzon,13791
General Antonio Elizalde,6
General Antonio Elizalde,6
Georgia,223
Gigante,6711
Ginebra,951
Giraldo,2
Girardot,41591
Girardota,41
Giron,9144
Goias,21917
Gomez Plata,2
Gonaives,3
Gonzalez,35
Gramalote,447
Granada,3676
Grande Anse,12
Gothenburg,27
Guaca,46
Guacari,629
Guacheta,16
Guadalajara De Buga,21136
Guadalupe,4636
Guaduas,1218
Guaitarilla,5
Guamal,1367
Guamo,1744
Guapi,24
Guaranda,54
Guarne,34
Guatape,81
Guataqui,72
Guatemala,4978
Guateque,9
Guavata,21
Guayabal De Siquima,177
Guayabetal,49
Guayaquil,221
Guayas,122
Guerrero,484
Hacari,152
Haiti,329
Hato Corozal,113
Hato Mayor,372
Hatonuevo,247
Hawaii,119
Heliconia,14
Hermanas Mirabal,126
Herran,33
Herveo,26
Hillsborough County,41
Hinche,7
Hispania,87
Hobo,813
Honda,585
Honduras,5
Ibague,61625
Icononzo,1633
Illinois,218
Imbabura,4
Independencia,914
Indiana,113
Inirida,171
Inza,17
Iowa,82
Ipiales,29
Iquira,724
Isnos,31
Istmina,38
Itagui,815
Ituango,21
Ixcan,9
Izabal,192
Jalapa,23
Jalisco,48
Jambalo,42
Jamundi,1121
Jaramijo,31
Jardin,8
Jerico,29
Jerusalen,321
Jesus Maria,21
Jimani de Independencia,14
Jipijapa,5
Juan De Acosta,295
Juan Diaz,5
Jujuy,8852
Jutiapa,141
Kansas,24
Kentucky,64
Kuna Yala,5
La Altagracia,412
La Apartada,1687
La Argentina,85
La Belleza,32
La Calera,27
La Ceja,4
La Celia,199
La Chorrera,2
La Concordia,31
Valle del Cauca,76
La Dorada,831
La Esperanza,211
La Estrella,71
La Gloria,193
La Jagua De Ibirico,255
La Libertad,18898
La Macarena,216
La Mesa,8262
La Montanita,578
La Palma,1912
La Pampa,24
La Paz,2726
La Pedrera,6
La Pena,949
La Pintada,76
La Plata,849
La Playa,239
La Primavera,233
La Rioja,41
La Romana,474
La Sierra,21
La Tebaida,254
La Tola,7
La Tortue,2
La Union,3146
La Uvita,4
La Vega,1611
La Victoria,3677
La Virginia,6267
Labateca,471
Labranzagrande,76
Lebrija,952
Lee County,41
Leguizamo,688
Lejanias,96
Leon,14
Lerida,1115
Leticia,4417
Libano,635
Liborina,23
Limbe,2
Lloro,25
Loja,11
Lorica,1618
Los Cordobas,56
Los Palmitos,43
Los Patios,17893
Los Rios,113
Los Santos,118
Louisiana,64
Lourdes,71
Luruaco,413
Macanal,11
Maceo,71
Machala,28
Macheta,17
Madrid,57
Magangue,1224
Mahates,862
Maicao,717
Maine,39
Maissade,3
Majagual,327
Malaga,73
Malambo,3272
Manabi,793
Managua,112
Manati,86
Manaure,813
Mani,216
Manizales,254
Manta,451
Manzanares,131
Mapiripan,116
Maranhao,21261
Margarita,18
Maria La Baja,68
Maria Trinidad Sanchez,187
Marinilla,3
Maripi,12
Mariquita,1479
Marmato,457
Marquetalia,254
Marsella,221
Maryland,227
Masaya,19
Massachusetts,216
Matagalpa,3
Matanza,37
Mato Grosso,131318
Mato Grosso do Sul,4621
Medellin,6341
Medina,635
Medio Baudo,15
Mejia,12
Melgar,6235
Mendoza,288
Mercaderes,31
Mesetas,223
Miami,313
Michigan,67
Michoacan de Ocampo,56
Milan,68
Milot,2
Minas Gerais,76628
Minnesota,231
Miraflores,44
Miranda,155
Mirebalais,22
Misiones,97
Mississippi,28
Missouri,46
Mistrato,39
Mitu,176
Mocoa,927
Molagavita,17
Momil,1791
Mompos,1119
Moniquira,189
Monitos,62
Monsenor Nouel,324
Montana,16
Monte Cristi,181
Monte Plata,382
Montebello,5
Montecristi,79
Montecristo,428
Montelibano,4251
Montenegro,1139
Monteria,38225
Monterrey,2918
Morales,212
Morazan,2121
Morelia,225
Morroa,895
Murillo,3
Murindo,14
Mutata,638
Mutiscua,5
Muzo,1659
Napo,4
Naranjo Chico,2
Nargana,11
Narino,586
Nataga,99
Natagaima,1212
Nayarit,17
Nebraska,34
Nechi,583
Necocli,811
Neira,21
Neiva,71813
Neuquen,268
Nevada,47
New Hampshire,45
New Jersey,163
New Mexico,15
New York,1635
Nicaragua,4863
Nilo,1811
Nimaima,131
Nindiri,2
Nippes,23
Nocaima,281
Noroccidente,43
Nor Oriente,35
Norcasia,79
Nord,99
Nord Est,11
Nord Ouest,7
Nordeste,337135
Norosi,68
Norte,56779
North Carolina,165
Nueva Granada,151
Nueva Segovia,31
Nuevo Leon,65
Nunchia,292
Oaxaca,2145
Obando,1775
Ocana,4182
Ocotal,3
Oeste,149672
Panama,7
Ohio,181
Oiba,51
Oklahoma,64
Olaya,44
Onzaga,11
Oporapa,111
Orange County,41
Oregon,99
Orellana,56
Orellana Joya de los Sachas,12
Orito,796
Orocue,316
Ortega,449
Osceola County,32
Otanche,47
Other,71
Ouanaminthe,4
Ouest,156
Ovejas,142
P Oeste,5
Pacho,231
Pacora,21
Padilla,57
Paez,181
Paicol,114
Pailitas,391
Paime,276
Pajarito,654
Palermo,3633
Palestina,391
PalmBeach County,14
Palmar,76
Palmar De Varela,481
Palmas Del Socorro,49
Palmira,19125
Palmito,159
Palocabildo,97
Pamplona,98
Pamplonita,91
Panama,546
Pandi,358
Para,11465
Paraiba,37524
Paramo,43
Parana,14618
Paratebueno,295
Parque Lefevre,5
Pasaje,12
Pasto,85
Patia,45
Pauna,21
Paz De Ariporo,1286
Pedernales,167
Pelaya,315
Pennsylvania,219
Pennsylvania?????,47
Pensilvania,92
Peque,18
Peravia,389
Pereira,5813
Pernambuco,48699
Peten Norte,19
Peten Sur Occidental,14
Peten Sur Oriental,115
Petion Ville,31
Petit Goave,2
Pe?ol,5
Piamonte,3
Piaui,5896
Pichincha,169
Piedecuesta,5665
Piedras,1195
Pignon,3
Pijino Del Carmen,59
Pinchote,33
Pinillos,121
Piojo,34
Pital,366
Pitalito,4246
Pivijay,2161
Plaine du Nord,12
Plaisance,4
Planadas,141
Planeta Rica,898
Plato,1584
Playon Chico,6
Policarpa,15
Polk County,18
Polonuevo,315
Ponedera,94
Popayan,419
Pore,321
Portoviejo,855
Pradera,2433
Prado,531
Providencia,621
Puerto Obaldia,8
Pueblo Bello,193
Pueblo Nuevo,461
Pueblo Rico,25
Puebloviejo,321
Puente Nacional,27
Puerres,14
Puerto Arica,18
Puerto Asis,2997
Puerto Berrio,1216
Puerto Boyaca,698
Puerto Caicedo,116
Puerto Carreno,115
Puerto Colombia,4173
Puerto Concordia,61
Puerto Escondido,1184
Puerto Gaitan,231
Puerto Guzman,893
Puerto Libertador,411
Puerto Lleras,121
Puerto Lopez,882
Puerto Nare,88
Puerto Narino,87
Puerto Parra,25
Puerto Plata,1416
Puerto Rico,196941
Puerto Rondon,133
Puerto Salgar,352
Puerto Santander,1136
Puerto Tejada,676
Puerto Triunfo,618
Puerto Wilches,283
Puli,195
Purificacion,2961
Purisima,126
Quebradanegra,282
Quetame,21
Quetzaltenango,1386
Quevedo,12
Quibdo,154
Quiche,5
Quimbaya,394
Quinchia,27
Quininde,16
Quintana Roo,8
Quipama,44
Quipile,295
Quito,254
Ragonvalia,212
Recetor,2
Regidor,18
Remedios,337
Repelon,355
Restrepo,723
Retalhuleu,251
Rhode Island,34
Ricaurte,2648
Rio Azucar,3
Rio De Oro,319
Rio Grande do Norte,22741
Rio Grande do Sul,4275
Rio Negro,116
Rio Sidra,5
Rio Viejo,65
Rio de Janeiro,266263
Rioblanco,84
Riofrio,332
Riohacha,5728
Rionegro,597
Riosucio,64
Risaralda,73
Rivas,5
Rivera,1984
Rocafuerte,32
Rodriguez,122
Roldanillo,7919
Rondonia,6534
Roraima,1138
Roseaux,2
Rovira,999
Sabana De Torres,2185
Sabanagrande,931
Sabanalarga,1818
Sabanas De San Angel,1149
Sabaneta,146
Sacama,13
Sacatepequez,27
Sachica,12
Sahagun,394
Saint Croix,2197
Saint John,121
Saint Thomas,1533
Salamanca,2
Salamina,238
Salazar,1917
Saldana,585
Salgar,24
Salta,1845
Samana,281
Sampues,841
San Agustin,122
San Alberto,1235
San Andres,25339
San Andres De Cuerquia,112
San Andres De Tumaco,261
San Andres Sotavento,481
San Antero,215
San Antonio,3122
San Antonio Del Tequendama,418
San Benito,215
San Benito Abad,88
San Bernardo,64
San Bernardo Del Viento,2484
San Calixto,43
San Carlos,615
San Carlos De Guaroa,2121
San Cayetano,811
San Cristobal,1821
San Diego,162
San Estanislao,53
San Felipe,2
San Fernando,25
San Francisco,184
San Gil,398
San Jacinto,659
San Jacinto Del Cauca,38
San Jeronimo,33
San Joaquin,82
San Jose,24
San Jose De Miranda,32
San Jose De Pare,56
San Jose De Ure,421
San Jose Del Fragua,1386
San Jose Del Guaviare,1317
San Jose de Ocoa,231
San Juan,212
San Juan De Arama,591
San Juan De Betulia,817
San Juan De Rio Seco,414
San Juan De Uraba,341
San Juan Del Cesar,1969
San Juan Nepomuceno,1238
San Juan de Oriente,2
San Juanito,7
San Lorenzo,22
San Luis,574
San Luis De Gaceno,257
San Luis De Palenque,678
San Luis De Since,317
San Marcos,2188
San Martin,1626
San Martin De Loba,21
San Miguel,2893
San Miguelito,2
San Onofre,221
San Pablo,52
San Pablo De Borbur,38
San Pedro,586
San Pedro De Cartago,13
San Pedro De Uraba,483
San Pedro de Macoris,436
San Pelayo,1224
San Rafael,35
San Roque,71
San Salvador,48111
San Sebastian De Buenavista,212
San Vicente,6173
San Vicente De Chucuri,685
San Vicente Del Caguan,1347
San Zenon,462
SanFrancisco,8
Sanchez Ramirez,229
Sandona,21
Santa Ana,11129
Santa Barbara,39
Santa Barbara De Pinto,311
Santa Catalina,23
Santa Catarina,832
Santa Cruz,142
Santa Elena,15
Santa Fe,441
Santa Helena Del Opon,3
Santa Isabel,21
Santa Lucia,96
Santa Maria,2349
Santa Marta,42621
Santa Rosa,511
Santa Rosa De Cabal,72
Santa Rosa Del Sur,756
Santa Rosalia,53
SantaRosa County,13
Santafe De Antioquia,395
Santana,143
Santander De Quilichao,811
Santiago,3649
Santiago De Tolu,265
Santo Domingo,21819
Santo Domingo Este,4
Santo Domingo Norte,3
Santo Domingo de los Tsachilas,24
Santo Tomas,688
Santuario,91
Sao Paulo,31629
Saravena,5669
Sardinata,3464
Sasaima,1311
Segovia,31
Seminole County,9
Sergipe,9223
Sesquile,17
Sevilla,163
Sgo Del Estero,78
Shushufindi,22
Silvania,991
Simacota,142
Sin Especificar,2
Sinaloa,23
Sincelejo,18873
Sitionuevo,595
Soacha,117
Soata,232
Socorro,1237
Socota,15
Sogamoso,38
Solano,81
Soledad,25148
Solita,132
Solola,3
Sonson,11
Sonsonate,1254
Sopetran,391
Soplaviento,28
South Carolina,8
StJohns County,12
Suaita,125
Suan,42
Suarez,282
Suaza,1672
Suchitepequez,444
Sucre,614
Sucumbios,49
Sud,19
Sud Est,16
Sudeste,366193
Sul,16153
Supia,61
Sur,53
Sutamarchan,3
Sutatenza,24
Tabasco,111
Tabio,55
Tado,18
Talaigua Nuevo,43
Tamalameque,118
Tamara,73
Tame,1851
Taminango,171
Taraza,253
Tarqui,378
Tauramena,3336
Tello,391
Tena,1313
Tenerife,1113
Tennessee,44
Teorama,85
Teruel,411
Tesalia,456
Texas,537
Tibacuy,426
Tibana,54
Tibasosa,8
Tibu,3791
Tierralta,1648
Timana,1954
Timbio,14
Tipacoque,34
Tiquisio,69
Tocaima,2621
Tocantins,24155
Tocumen,8
Togui,2
Toledo,194
Tolu,2511
Tolu Viejo,69
Toluviejo,914
Tona,4
Topaipi,181
Toribio,42
Toro,4469
Trinidad,745
Trujillo,232
Tubara,1184
Tuchin,411
Tucuman,874
Tulua,11411
Tunja,121
Tunungua,9
Turbaco,7117
Turbana,214
Turbo,4874
US Virgin Islands,245
Ubala,181
Ulloa,69
Une,3
Unguia,22
United States Virgin Islands,9361
Unknown,13915
Uramita,25
Uribe,75
Uribia,514
Urrao,28
Urumita,8
Usiacuri,483
Ustupu,16
Usulutan,2619
Utah,21
Utica,438
Valdivia,44
Valencia,454
Valle De San Jose,31
Valle De San Juan,133
Valle Del Guamuez,311
Valledupar,14555
Valparaiso,184
Valverde,971
Vegachi,64
Velez,125
Venadillo,153
Venecia,14
Ventanas,74
Veracruz de Ignacio de la Llave,117
Vergara,139
Vermont,4
Verrettes,42
Versalles,362
Viani,56
Victoria,385
Vijes,3259
Villa Caro,32
Villa De San Diego De Ubate,85
Villa Del Rosario,14628
Villa Guadalupe,2
Villa Rica,73
Villagarzon,425
Villagomez,57
Villahermosa,52
Villamaria,32
Villanueva,3735
Villapinzon,5
Villarrica,498
Villavicencio,23193
Villavieja,319
Villeta,2969
Vinces,12
Viota,891
Virginia,231
Vista Alegre,9
Vistahermosa,1119
Viterbo,766
Washington,47
West Virginia,84
Wisconsin,6
Yacopi,83
Yacuanquer,31
Yaguara,624
Yarumal,56
Yolombo,41
Yondo,149
Yopal,18634
Yotoco,657
Yucatan,31
Yumbo,11333
Zacapa,1213
Zapatoca,77
Zaragoza,933
Zarzal,11159
Zetaquira,18
Zipaquira,59
Zona Bananera,1216
las cumbres,5
